id,metricDescription,yAxisFormatter,renderer,url,graph
mysql.com_drop_db,mysql com drop db,byte,line,n42-services/resources/metrics/mysql.com_drop_db,TRUE
mysql.com_drop_function,mysql com drop function,byte,line,n42-services/resources/metrics/mysql.com_drop_function,FALSE
mysql.com_drop_index,mysql com drop index,byte,line,n42-services/resources/metrics/mysql.com_drop_index,TRUE
mysql.com_drop_table,mysql com drop table,byte,line,n42-services/resources/metrics/mysql.com_drop_table,FALSE
mysql.com_drop_user,mysql com drop user,byte,line,n42-services/resources/metrics/mysql.com_drop_user,TRUE
mysql.com_flush,mysql com flush,byte,line,n42-services/resources/metrics/mysql.com_flush,FALSE
mysql.com_grant,mysql com grant,byte,line,n42-services/resources/metrics/mysql.com_grant,TRUE
mysql.com_ha_close,mysql com ha close,byte,line,n42-services/resources/metrics/mysql.com_ha_close,FALSE
mysql.com_ha_open,mysql com ha open,byte,line,n42-services/resources/metrics/mysql.com_ha_open,TRUE
mysql.com_ha_read,mysql com ha read,byte,line,n42-services/resources/metrics/mysql.com_ha_read,FALSE
mysql.com_help,mysql com help,byte,line,n42-services/resources/metrics/mysql.com_help,TRUE
mysql.com_insert,mysql com insert,byte,line,n42-services/resources/metrics/mysql.com_insert,FALSE
mysql.com_insert_select,mysql com insert select,byte,line,n42-services/resources/metrics/mysql.com_insert_select,TRUE
mysql.com_kill,mysql com kill,byte,line,n42-services/resources/metrics/mysql.com_kill,FALSE
mysql.com_load,mysql com load,byte,line,n42-services/resources/metrics/mysql.com_load,TRUE
mysql.com_lock_tables,mysql com lock tables,byte,line,n42-services/resources/metrics/mysql.com_lock_tables,FALSE
mysql.com_optimize,mysql com optimize,byte,line,n42-services/resources/metrics/mysql.com_optimize,TRUE
mysql.com_preload_keys,mysql com preload keys,byte,line,n42-services/resources/metrics/mysql.com_preload_keys,FALSE
mysql.com_prepare_sql,mysql com prepare sql,byte,line,n42-services/resources/metrics/mysql.com_prepare_sql,TRUE
mysql.com_purge,mysql com purge,byte,line,n42-services/resources/metrics/mysql.com_purge,FALSE
mysql.com_purge_before_date,mysql com purge before date,byte,line,n42-services/resources/metrics/mysql.com_purge_before_date,TRUE
mysql.com_rename_table,mysql com rename table,byte,line,n42-services/resources/metrics/mysql.com_rename_table,FALSE
mysql.com_repair,mysql com repair,byte,line,n42-services/resources/metrics/mysql.com_repair,TRUE
mysql.com_replace,mysql com replace,byte,line,n42-services/resources/metrics/mysql.com_replace,FALSE
mysql.com_replace_select,mysql com replace select,byte,line,n42-services/resources/metrics/mysql.com_replace_select,TRUE
mysql.com_reset,mysql com reset,byte,line,n42-services/resources/metrics/mysql.com_reset,FALSE
mysql.com_revoke,mysql com revoke,byte,line,n42-services/resources/metrics/mysql.com_revoke,TRUE
